basin,tier,log_resid_var,signed_coverage_error
07335700,humid,1.5713798999786377,-0.26416976334832787
07340300,humid,0.2357384413480758,0.060884021122628584
07346045,humid,1.129502534866333,-0.27218853901818896
07359610,humid,0.4348515570163727,-0.031038529239194257
07362100,humid,0.8147978782653809,-0.4106591042440838
07362587,humid,1.3840876817703247,-0.39266575396049286
07373000,humid,0.1439699232578277,0.07711715235673755
07375000,humid,0.2617014050483703,0.07711715235673755
07376000,humid,0.2020113468170166,0.08885194601994917
08013000,humid,0.5869465470314026,-0.157187561118717
08014500,humid,0.7506359219551086,0.02978681791511839
08023080,humid,1.424997091293335,-0.5641893213377664
08025500,humid,0.4463414549827575,-0.21566594954038731
08029500,humid,0.1524902582168579,0.08024643066692738
08050800,semi_arid,12.043909072875977,-0.5508898885194602
08066200,semi_arid,0.6017032265663147,-0.24246039507138673
08066300,semi_arid,0.1955998688936233,0.08200664971640914
08070000,semi_arid,0.2413541972637176,-0.03240758849990222
08070200,semi_arid,0.2133168876171112,0.05325640524154118
08079600,dry,4.280319690704346,-0.1328221469826728
08082700,dry,4.176916122436523,-0.35100723645609233
08086212,dry,0.6783977150917053,-0.4358889106199883
08086290,dry,1.1455368995666504,-0.5806180324662625
08101000,semi_arid,0.6103781461715698,-0.26456092313710156
08103900,semi_arid,2.010903596878052,-0.3715431253667123
08104900,semi_arid,1.2019051313400269,-0.043751222374339926
08109700,semi_arid,0.7916574478149414,0.011206727948366746
08150800,dry,1.8636095523834229,-0.017347936632114203
08155200,semi_arid,1.2188326120376587,-0.08521415998435367
08158700,semi_arid,0.9007781147956848,-0.24128691570506555
08158810,semi_arid,1.38436758518219,-0.1466262468218268
08164000,dry,1.8955107927322388,-0.11376882456483473
08164300,dry,4.399851799011231,-0.1923919421083513
08164600,semi_arid,11.03808307647705,-0.21410131038529245
08165300,dry,0.5392706394195557,0.0336984158028556
08171300,dry,0.6955546736717224,-0.19024056327009586
08175000,semi_arid,0.665995180606842,-0.09303735575982797
08176900,dry,0.7482410073280334,-0.10436913025724792
08178880,semi_arid,0.3586948812007904,0.05384314492470177
08189500,dry,1.174604415893555,-0.1301975356933307
08190000,dry,0.213700994849205,0.08552708781537255
08190500,dry,0.5892139077186584,-0.5309407392920008
08194200,dry,16.498218536376953,-0.5143164482691179
08195000,dry,0.3360888063907623,0.06205750048894976
08196000,dry,0.407986432313919,-0.003070604341873673
08198500,dry,1.3658305406570437,-0.2508703305300215
08200000,semi_arid,0.7963072061538696,-0.09127713671034621
08202700,dry,1.3951201438903809,-0.4959319381967534
08267500,snow,0.1362192630767822,0.09784862116174453
08269000,snow,0.2033943384885788,0.09589282221787598
08271000,snow,0.110587440431118,0.09999999999999998
08324000,dry,0.1232600435614585,0.06870721689810277
08377900,snow,0.1734632849693298,0.07124975552513202
08378500,snow,0.1420738101005554,0.09863094073929202
08380500,dry,0.2586977779865265,0.07359671425777436
09034900,snow,0.2333182394504547,0.07711715235673755
