tier,mean_width,mean_log_width
humid,351080.6063588066,4.651321632368281
humid,3.05400153110924,2.2769724947119703
dry,0.3333853667821613,1.696373320549126
dry,0.0714627465852353,2.299892799286811
humid,8.922834898213479,3.3631005458068923
humid,30.13109890797496,5.871169472636017
humid,7231081.521640239,5.325832078534901
humid,2758.5376993239192,1.952316144313361
humid,10909.566174883015,2.519858236861233
humid,3.500915899248731,1.885470414033672
dry,519.512636154737,2.280362611387705
dry,0.1507295286758303,2.099575572952981
dry,0.2011477921462991,2.4953611133710853
dry,2.5740915156007267,5.037294039025877
semi_arid,2.496798719418447,4.057610660482474
humid,28376219.682383496,4.637531241441739
humid,4.701015716133744,1.860938719170867
humid,15617772.947303198,5.766429146814785
humid,4.791325600954046,2.556497939151023
humid,10.78394102413734,4.600177055698725
humid,32.84086230938423,5.613922769860608
humid,2.516725145412965,1.5656756072764335
humid,2.661808126716611,1.697293259592502
humid,2.1291303038480534,1.6121066644097084
humid,502078.23784967005,2.9778248074235174
humid,104518.1699200218,2.3931462747720085
humid,27.57724197801955,6.235905293543558
humid,6.614016757793863,3.314054112086528
humid,1.4144255556712615,1.3305080332868886
semi_arid,48501.52900205732,5.31734543599286
semi_arid,4.324130078071301,3.264580582397315
semi_arid,1.5224050387912085,1.5957121921452948
semi_arid,2.100048267964325,2.253873854030398
semi_arid,1.5806620441349477,1.8498175578086595
dry,0.3337929770161261,3.28697093229706
dry,0.8012784529373898,3.942831736405535
dry,8617.634160079893,3.794647821166756
dry,484.11761272947945,4.363112289612246
semi_arid,1.7507673318873245,3.482759616623506
semi_arid,3785.88798579657,4.125305194106793
semi_arid,2288.736765739261,2.8853898798442508
semi_arid,179.51061685353247,2.394090854816187
dry,6229.852609951135,3.312184641418592
semi_arid,1.8408866495317704,2.967288257929763
semi_arid,15930.213155809606,3.650599296932792
semi_arid,2.111245097496663,3.2694062512843733
dry,123.44652877397525,2.9442220908099137
dry,408037.8330675963,4.939892691361002
semi_arid,727759.1543940797,6.831654122681061
dry,0.8094780226109658,2.20580613086211
dry,2.2827140865067874,3.0723785282743434
semi_arid,5438.136181765386,2.910631120286528
dry,0.9437367805439892,2.8505109135059983
semi_arid,0.8469565790372453,1.921917570865996
dry,233488.9247169202,3.5368514782338374
dry,0.2899630972971666,1.7038846409020068
dry,0.9459072893262114,4.28035953225349
dry,27576.043142047107,6.169768248941715
dry,0.6476135440782782,1.8959110110281217
dry,0.7155445473840208,2.043819880639413
dry,283691.29412155587,4.106547968088706
semi_arid,1.4163937599061405,2.7162805819917093
dry,223355.2820353659,6.248383333369195
snow,0.9805084572900608,1.2185421720214162
snow,0.403282421003716,1.352565854980175
snow,0.9609973763687466,1.2136828012366645
dry,0.3739847974134428,1.9216910256766864
snow,1.0276106047800508,1.5579521971254369
snow,0.6327792412056606,1.1814693351349626
dry,0.4532418481447495,1.7507112016422324
snow,3.641225939804902,1.6076920673195778
snow,1.4429248913543895,1.0487216860760733
snow,1.1075329750152616,0.8818569664336827
snow,0.750696360891506,1.042991122760209
snow,2.5876003241331498,1.2798312041196669
snow,1.6643001266288682,1.1883231126560336
snow,3.590303205100846,1.8789321957048597
snow,5.699526570569786,3.265870909482888
snow,2.1559342292425057,1.127650498049893
snow,0.6004785544778325,0.9090237105613164
snow,0.3501447568824793,0.8874067237249867
snow,1.6880737397096266,1.864338953784597
dry,10365.62329842711,3.1924857552821404
snow,0.8527161325438252,2.407522490223676
snow,2.5501249210576407,1.446005787258159
snow,157832.45056810547,5.211686744910034
snow,224676.1503058688,5.761739022433816
dry,2791.6657170760423,4.085253389385753
snow,0.3507818690142868,1.1206605002508456
dry,5229.570031927984,2.108225643949548
dry,63251.28778052293,3.885444354013107
dry,941.8841984030744,4.002114278123544
dry,1654.79819883121,3.0743777425528176
dry,6.384933518239623,5.913829766162892
dry,0.1965001724105209,3.0768384212573725
dry,0.7553073624897593,1.2827997513300469
dry,0.4204038000326263,1.7142765024345774
dry,0.2967538234872685,1.690158047014259
dry,0.5572571316673848,2.1193118512968527
dry,1.2999307234173558,2.5513709335674077
dry,2.647066765584696,4.430510113529793
dry,24277.39048924023,1.987328129215248
dry,2.4165892230567927,4.340432180389368
dry,45.45643596840159,2.6295608801312955
dry,9.103743347576488,2.370307632465314
dry,0.4451983822382143,3.116993048548722
snow,0.5482028756161713,1.972026510082904
dry,84233.36246159236,3.638164676333882
snow,0.4889424678842405,1.6943551120099642
snow,1.6711404051725678,1.068048357765385
snow,1.0148816828576612,1.9895238472915404
snow,0.647699776435817,1.702140808828232
snow,578927.7975975459,1.0295421028589518
dry,0.601279426149699,1.1486669410447796
snow,0.5361998398144745,0.9745677699903768
dry,0.5406258090260956,1.983038052966071
dry,1.8127064528167771,3.9215861698104377
dry,0.4204120567884845,3.2663759948828206
dry,0.5930313769274033,1.476353773521906
dry,0.5747550322315201,3.710027052142395
dry,0.7110718098226275,1.5843507088072353
snow,0.6544841121486575,1.565585246623297
snow,5.0209465554472565,2.366184362175179
snow,0.6580484820194302,2.150200379843724
snow,6.140768818366372,2.348051809341316
snow,9.309289624085752,2.4247564668644204
snow,1.661972232470843,2.7490836922315807
snow,1.8754781710146784,1.4897183328604666
snow,2.7374531847415584,1.3097948834595114
snow,1.0358932991434706,1.3821246226939488
dry,0.9562027789834496,2.00311795219199
